Feb  5 22:58:19 syslog-client syslog-ng[7]: Syslog connection established; fd='12', server='AF_INET(172.18.0.5:514)', local='AF_INET(0.0.0.0:0)'
Feb  5 23:06:19 syslog-client syslog-ng[9]: syslog-ng starting up; version='4.10.2'
Feb  5 23:06:19 syslog-client syslog-ng[9]: Syslog connection established; fd='12', server='AF_INET(172.18.0.4:514)', local='AF_INET(0.0.0.0:0)'
Feb  5 23:09:08 syslog-client syslog-ng[8]: syslog-ng starting up; version='4.10.2'
Feb  5 23:09:09 syslog-client syslog-ng[8]: Syslog connection established; fd='12', server='AF_INET(172.18.0.3:514)', local='AF_INET(0.0.0.0:0)'
Feb  5 23:11:46 syslog-client syslog-ng[7]: syslog-ng starting up; version='4.10.2'
Feb  5 23:11:47 syslog-client syslog-ng[7]: Syslog connection established; fd='12', server='AF_INET(172.18.0.4:514)', local='AF_INET(0.0.0.0:0)'
Feb  5 23:14:24 syslog-client syslog-ng[8]: syslog-ng starting up; version='4.10.2'
Feb  5 23:14:25 syslog-client syslog-ng[8]: Syslog connection established; fd='12', server='AF_INET(172.18.0.4:514)', local='AF_INET(0.0.0.0:0)'
Feb  5 23:24:08 syslog-client syslog-ng[8]: syslog-ng starting up; version='4.10.2'
Feb  5 23:24:09 syslog-client syslog-ng[8]: Syslog connection established; fd='12', server='AF_INET(172.18.0.3:514)', local='AF_INET(0.0.0.0:0)'
Feb  5 23:27:00 syslog-client syslog-ng[8]: syslog-ng starting up; version='4.10.2'
Feb  5 23:27:00 syslog-client syslog-ng[8]: Syslog connection established; fd='12', server='AF_INET(172.18.0.3:514)', local='AF_INET(0.0.0.0:0)'
Feb  5 23:30:06 syslog-client syslog-ng[8]: syslog-ng starting up; version='4.10.2'
Feb  5 23:30:06 syslog-client syslog-ng[8]: Syslog connection failed; fd='12', server='AF_INET(172.18.0.4:514)', error='Connection refused (111)', time_reopen='60'
Feb  5 23:31:06 syslog-client syslog-ng[8]: Syslog connection established; fd='12', server='AF_INET(172.18.0.4:514)', local='AF_INET(0.0.0.0:0)'
Feb  5 23:32:14 syslog-client syslog-ng[8]: syslog-ng starting up; version='4.10.2'
Feb  5 23:32:14 syslog-client syslog-ng[8]: Syslog connection established; fd='12', server='AF_INET(172.18.0.4:514)', local='AF_INET(0.0.0.0:0)'
Feb  5 23:32:26 syslog-client syslog-ng[9]: syslog-ng starting up; version='4.10.2'
